iso3_code,country_name,base_che,shock_che,base_oops,shock_oops,base_gghed,shock_gghed,che_delta_pct,oops_delta_pp,gghed_delta_pp
COK,Cook Islands,11981923.063088857,16959560.65610199,2.789628132144439,1.9184325540842542,92.92749786,93.646698,41.54289396455141,-0.8711955780601848,0.7192001399999981
COL,Colombia,25814166881.384094,28394605481.010838,14.750144474587598,14.19414524635874,69.91674805,71.43163553666666,9.996211039790047,-0.555999228228858,1.514887486666666
COM,Comoros,63893563.17909223,87645207.9544367,61.82796487522851,53.65261911851533,16.06903648,15.612930296666667,37.17376773739969,-8.175345756713178,-0.4561061833333344
CPV,Cabo Verde,120705831.85980453,148817395.93164212,24.941140314738536,23.067760488308178,67.16694641000001,65.85424931666667,23.28931720920341,-1.8733798264303587,-1.312697093333341
CRI,Costa Rica,5500949741.2370405,5869596351.605003,22.324563959712584,21.07961705313366,72.53588103999999,70.36784362666667,6.701508425071749,-1.2449469065789245,-2.168037413333323
CUB,Cuba,NA,NA,10.850162170970515,9.482362162592578,89.01757813,90.48343658666667,NA,-1.3678000083779374,1.4658584566666661
CYP,Cyprus,1997207071.3740745,2615585336.190442,33.72646693891906,18.547598149973382,54.16415787000001,75.62775675666667,30.962150779434435,-15.178868788945678,21.46359888666666
CZE,Czechia,25378052705.3131,29480855677.9381,14.30902132018663,12.615187593196813,84.55741882,86.41953023333335,16.16673674795405,-1.6938337269898174,1.862111413333352
DEU,Germany,514534952440.2197,557590614725.1868,12.3754851869455,11.044462180203267,77.85022735999999,79.73928833,8.367879010118246,-1.3310230067422335,1.8890609700000027
DJI,Djibouti,79236319.82530053,89814367.49443792,28.161220905108586,29.446138945162268,53.27128983,38.29134559333333,13.349998703195409,1.2849180400536824,-14.979944236666668
DMA,Dominica,34297684.55153623,36064968.44670287,33.85964321183426,25.454264604902807,64.46092224,67.32002131333334,5.152779023642506,-8.405378606931453,2.85909907333334
DNK,Denmark,37771791347.231834,39419641662.833374,13.794443749594778,13.28940459835416,83.70944214,84.42651366999999,4.3626480419025855,-0.5050391512406183,0.7170715299999983
DOM,Dominican Republic,4660752869.20562,5350665190.682486,27.333487826393903,24.321752246760603,61.00006485,64.09275945,14.802593933594565,-3.0117355796332994,3.0926946000000015
DZA,Algeria,12611270226.83745,10879892206.512774,37.92312965155471,43.425015707105715,60.472328190000006,54.394849140000005,-13.728815489499324,5.5018860555510045,-6.077479050000001
ECU,Ecuador,8822865514.423752,9083900074.995825,29.07480277995321,30.082677048462447,62.90171813999999,62.286360423333335,2.958614297648874,1.0078742685092372,-0.615357716666658
EGY,Egypt,12887062869.191963,13654171577.299417,62.50646487001317,55.98128767958244,28.20387077,35.10120519,5.95254881499273,-6.525177190430732,6.89733442
ERI,Eritrea,97950224.04609784,88754606.73279382,46.44067699639667,50.84111631062834,15.956349370000002,21.32840284,-9.38805133204834,4.400439314231669,5.372053469999997
ESP,Spain,144134358882.90634,152274295598.3484,23.84757856746013,21.33111368262463,69.43850708,72.54496256333334,5.647464475874812,-2.5164648848355,3.106455483333349
EST,Estonia,2718267543.4370637,3033925625.8162017,23.924581514741487,22.241817593961393,74.36911011,75.95293680666666,11.612472920160387,-1.6827639207800935,1.5838266966666623
ETH,Ethiopia,4032810054.170658,4446645498.556559,37.819413665454846,38.22761427227902,22.53820801,28.008503596666664,10.26171425946331,0.4082006068241739,5.470295586666662
FIN,Finland,27222925581.978436,28736383222.124203,17.42399447232526,16.4091277765154,80.19264983999999,81.46925354,5.55949666610291,-1.0148666958098573,1.2766037000000097
FJI,Fiji,229277306.61999875,245537306.29516545,19.149045408058814,18.51303687624192,61.70609664999999,62.68760427,7.0918486939991014,-0.6360085318168949,0.9815076200000092
FRA,France,332841766127.5603,351078903089.294,10.31887924038527,9.2801749701780345,74.57907867,75.71162160333333,5.479221305040303,-1.0387042702072353,1.1325429333333261
FSM,Micronesia (Federated States of),53519693.45813589,53501338.26974328,2.694893206113451,2.701413711901661,14.72969437,12.388147036666666,-0.03429613887263224,0.0065205057882096185,-2.3415473333333345
