iso3_code,continent,y_2023,y_2000,log_start,log_end,growth
LBY,Africa,470.4034710109832,288.9065353916794,5.6661032288559205,6.153590775407073,0.02119511071961533
LTU,Europe,2033.999761077866,587.3283632697166,6.3755840557088685,7.617759459144322,0.05400762623632407
LUX,Europe,7447.642347638266,6888.347960400549,8.837586561730665,8.915652797884235,0.003394184180589971
MDG,Africa,17.44003569069777,21.204199215350066,3.054199238259225,2.8587684649637035,-0.008496990143283539
MWI,Africa,41.26664808465867,11.091487826161513,2.406177951620852,3.720054621291299,0.05712507259436727
MYS,Asia,450.33853176158397,162.14241572060632,5.0884750584285054,6.109999592737493,0.04441411018734729
MDV,Asia,1159.0282433090135,566.3988975919281,6.339298596035681,7.055337211730514,0.031132113725862307
MLI,Africa,33.98024951594694,35.47868406769659,3.5689320673425176,3.5257794592405736,-0.0018762003522584344
MLT,Europe,3553.3446972977417,1393.7558665434628,7.2397574443787365,8.175644607160423,0.040690746207899434
MHL,Oceania,894.2153619903677,502.77674216995484,6.220146219023221,6.795946643243419,0.025034801053052114
MRT,Africa,92.11445190147093,57.375852609560646,4.04962352856765,4.523031846276757,0.020582970335178568
MUS,Africa,628.5157592546869,164.57154654875072,5.103345409076356,6.443361102106855,0.05826155187089126
MEX,Americas,760.9884073368404,548.396885931678,6.306999269210472,6.634618124285525,0.014244298046741422
FSM,Oceania,507.7784749178726,286.8628625524178,5.659004270734279,6.230045279474689,0.02482786994523523
MCO,Europe,8004.271580214579,5137.19841285753,8.544263153987972,8.987730625689537,0.019281194421807174
MNG,Asia,354.5260439741494,129.7344525820553,4.8654896889091095,5.870781810055434,0.04370835309331847
MAR,Africa,232.24751429039773,80.96219001364724,4.39398225573712,5.447803674904263,0.04581832257248447
MOZ,Africa,52.961666389488826,6.286678900295399,1.8384329344995818,3.969568376192062,0.09265806268228176
MMR,Asia,56.18909900445399,7.3146556751091145,1.9898799622923187,4.028722770193163,0.08864533947394973
NAM,Africa,397.090654220702,344.3560948549789,5.841676281427447,5.984164602782694,0.006195144406749851
NRU,Oceania,2292.373214084621,1711.7410751821683,7.445266304131683,7.737342897948969,0.01269898233988203
NPL,Asia,83.9601952085295,20.411527416764784,3.016099810707801,4.430342819967946,0.06148882648957154
NLD,Europe,6348.3942016700885,3942.846119962433,8.279658106984318,8.75595717828003,0.02070865527372659
